,ID,question_id,question,intructor_answers,answer,input
16,751,2023-05-04,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"All the dimensions, except the first one.","at least 2, depending on how many arrays are being used.",how many dimensions need specified passing multi dimensional array argument function least depending many arrays used
17,29,2023-01-01, What is the role of a prototype program in problem solving?, To simulate the behaviour of portions of the desired software product.," Prototype programming is an approach to programming that enables one to take an organized approach to developing an effective program with minimal errors and a strategic pattern when solving a problem. i.e. book gave an example of a costumer withdrawing money from a bank, the approach that was taking on a pseudo code level during the OOA/Design lvl before proceeding into creating a solution.",what role prototype program problem solving prototype programming approach programming enables one take organized approach developing effective program minimal errors strategic pattern solving problem e book gave example costumer withdrawing money bank approach taking pseudo code level ooa design lvl proceeding creating solution
18,1732,2023-02-10,What is the height of a tree?,The length of the longest path from the root to any of its leaves.,"the number of levels of a tree, like a tree can have at minimum a depth of 3 and at most a height of 8 for 8 nodes.",what height tree number levels tree like tree minimum depth height nodes
19,344,2023-05-02,How many constructors can be created for a class?,Unlimited number.,One,how many constructors created class one
20,1925,2023-03-11,How are objects initialized when they are created?,By using constructors.,not answered,how objects initialized created answered
21,1965,2023-04-11,What is a function signature?,"The name of the function and the list of parameters, including their types.",the body of the function that holds all the actual code,what function signature body function holds actual code
22,789,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,using index outside bounds array generates error is compilation error run time error compilation error
23,481,2023-03-03,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,You declare your inline function in the header or before your int main(). You then can call that function at anytime in your main program quickly and easily.,how compiler handle inline functions you declare inline function header int main you call function anytime main program quickly easily
24,1424,2023-04-08,How can you implement a stack with a list?,"Keep the top of the stack pointing to the head of the linked list, so the push and pop operations will add or remove elements at the beginning of the list.","Using a linked list is one way to implement a stack so that it can handle essentially any number of elements. It is usually convenient to put a data structure in its own module, thus, you'll want to create files stack.h and a stack.c",how implement stack list using linked list one way implement stack handle essentially number elements it usually convenient put data structure module thus want create files stack stack c
25,387,2023-07-02,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",No,what role header file no
26,2422,2023-10-12,How many steps does it take to search a node in a binary search tree?,The height of the tree.,2^n where n is the # of levels the binary tree has,how many steps take search node binary search tree n levels binary tree
27,42,2023-02-01, What stages in the software life cycle are influenced by the testing stage?, The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7)," Elaboration, Construction, Transition",what stages software life cycle influenced testing stage elaboration construction transition
28,1341,2023-01-08,What is a stack?,"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",a finite ordered list with zero or more elements,what stack finite ordered list zero elements
29,2229,2023-03-12,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"2^(log n), log(log n), n!, n^2, n^3",order following functions running time log log log n log log log n n
30,413,2023-07-02,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",contains all the standard C++ library's i.e. string,what role header file contains standard library i string
31,2051,2023-07-11,What is the difference between an array that is declared as static and one that is not?,The static arrays are intialized only once when the function is called.,Arrays declared static can not be changed.  One not declared static can be altered.,what difference array declared static one not arrays declared static changed one declared static altered
32,1925,2023-03-11,How are objects initialized when they are created?,By using constructors.,not answered,how objects initialized created answered
33,1879,2023-01-11,What are the elements typically included in a class definition?,Function members and data members.,"data members, class variables, and functions",what elements typically included class definition data members class variables functions
34,2257,2023-04-12,"Briefly, how does selection sort work?","It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth.","goes to the middle of the list, checks to see if it is greater or less then the value given and moves through the list accordingly to add the value into the proper place.",briefly selection sort work goes middle list checks see greater less value given moves list accordingly add value proper place
35,221,2023-01-02,What is typically included in a class definition?,Data members (attributes) and member functions., Member functions and data members.,what typically included class definition member functions data members
36,1584,2023-03-09,How can you implement a queue with an array?,"Use a circular array. Keep the rear of the queue toward the end of the array, and the front toward the beginning, and allow the rear pointer to wrap around.",an array is a type of queue with a fixed length,how implement queue array array type queue fixed length
37,623,2023-07-03,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,"They both use repetition, a control or test to terminate, and both can infinitely repeat if not defined correctly.",what similarities iteration recursion they use repetition control test terminate infinitely repeat defined correctly
38,2433,2023-10-12,How many steps does it take to search a node in a binary search tree?,The height of the tree.,3 steps at most.  There are 3 cases.,how many steps take search node binary search tree steps most there cases
39,2257,2023-04-12,"Briefly, how does selection sort work?","It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth.","goes to the middle of the list, checks to see if it is greater or less then the value given and moves through the list accordingly to add the value into the proper place.",briefly selection sort work goes middle list checks see greater less value given moves list accordingly add value proper place
40,1316,2023-07-07,What is the main disadvantage of a doubly-linked list over a basic linked list?,Extra space required to store the back pointers.,not answered,what main disadvantage doubly linked list basic linked list answered
41,413,2023-07-02,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",contains all the standard C++ library's i.e. string,what role header file contains standard library i string
42,387,2023-07-02,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",No,what role header file no
43,2241,2023-03-12,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,2^(log n)<br>n^2<br>^3<br>log(long n)<br>n!,order following functions running time log log log n log br br br log long br
44,200,2023-07-01,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,NO ANSWER,what main difference do while statement no answer
45,612,2023-07-03,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,not answered,what similarities iteration recursion answered
46,1824,2023-06-10,What is the inorder traversal of a binary tree?,"Traverse the left subtree, then the root, then the right subtree.",postorder,what inorder traversal binary tree postorder
47,613,2023-07-03,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,anything you can do recursively you can do iteratively,what similarities iteration recursion anything recursively iteratively
48,840,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,No answer,how bi dimensional arrays stored memory rows columns no answer
49,1905,2023-02-11,What are the access-specifiers that can be used in a C++ class definition?,Private and public.,"static, long, unsigned",what access specifiers used class definition static long unsigned
50,581,2023-06-03,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included.",Not having the proper case to leave the recursion,when defining recursive function possible causes infinite recursion not proper case leave recursion
51,1946,2023-03-11,How are objects initialized when they are created?,By using constructors.,Objects are assigned a space in memory when they are created. the name given to the object points to the memory address where the objects data resides.,how objects initialized created objects assigned space memory created name given object points memory address objects data resides
52,1944,2023-03-11,How are objects initialized when they are created?,By using constructors.,they are initialized to a value dependent on the compiler,how objects initialized created initialized value dependent compiler
53,2409,2023-09-12,How do you delete a node from a binary search tree?,"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree).",not answered,how delete node binary search tree answered
54,839,2023-07-04,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.,by rows,how bi dimensional arrays stored memory rows columns rows
55,173,2023-06-01,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),"anywhere, but where you declare them depends on where you want them to be accessible (their scope)",where variables declared program anywhere declare depends want accessible their scope
56,1636,2023-05-09,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",list based because you dont need to shift the elements like you do in array based queues,which implementation array based vs list based preferred queue why list based dont need shift elements like array based queues
57,129,2023-05-01, What is a variable?,A location in memory that can store a value.,a value/word that can assume any of a set of values,what variable value word assume set values
58,1384,2023-03-08,How can you implement a stack with an array?,"Keep the top of the stack toward the end of the array, so the push and pop operations will add or remove elements from the right side of the array.",create an array and implement pointers that point to the next list item down and stack them up.,how implement stack array create array implement pointers point next list item stack up
59,808,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,using index outside bounds array generates error is compilation error run time error compilation error
60,93,2023-04-01, Where do C++ programs begin to execute?,At the main function., Int main(),where programs begin execute int main
61,803,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error.,using index outside bounds array generates error is compilation error run time error compilation error
62,64,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability., Object oriented programming allows programmers to use an object with classes that can be changed and manipulated while not affecting the entire object at once. The classes all hold attrubutes that affect the object.,what main advantages associated object oriented programming object oriented programming allows programmers use object classes changed manipulated affecting entire object once the classes hold attrubutes affect object
63,409,2023-07-02,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",Allow compiler to recognize the classes when used elsewhere<br>,what role header file allow compiler recognize classes used elsewhere br
64,2405,2023-09-12,How do you delete a node from a binary search tree?,"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree).","Set the nodes to NULL, where that it doesn't point to anything, and the use the DELETE opertator to clear space from memory.",how delete node binary search tree set nodes null point anything use delete opertator clear space memory
65,612,2023-07-03,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,not answered,what similarities iteration recursion answered
66,44,2023-02-01, What stages in the software life cycle are influenced by the testing stage?, The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7)," The testing stage has a direct influence on the final version of a program, being as it is the debugging and finalization of a software revision.",what stages software life cycle influenced testing stage the testing stage direct influence final version program debugging finalization software revision
67,2381,2023-08-12,What is the Euler tour traversal of a tree?,"A walk around the tree, starting with the root, where each node is seen three times: from the left, from below, from the right.",not answered,what euler tour traversal tree answered
68,24,2023-01-01, What is the role of a prototype program in problem solving?, To simulate the behaviour of portions of the desired software product., To ease the understanding of problem under discussion and to ease the understanding of the program itself,what role prototype program problem solving to ease understanding problem discussion ease understanding program
69,2047,2023-07-11,What is the difference between an array that is declared as static and one that is not?,The static arrays are intialized only once when the function is called.,An array declared static remains the same throughout the execution of the program.,what difference array declared static one not an array declared static remains throughout execution program
70,247,2023-02-02,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.," A data member is a more general term describing all objects instantiated within a member function.  ""Local"" in local variables refers more to the scope of a variable, which may be located in anything from a control structure to a class.  Local variables whose scope are in a member function are the same as data members of member functions.",what difference data member local variable inside member function data member general term describing objects instantiated within member function local local variables refers scope variable may located anything control structure class local variables whose scope member function data members member functions
71,281,2023-03-02,What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",Constructors don't have a return type.,what difference constructor function constructors return type
72,1161,2023-02-07,What is the main advantage of linked lists over arrays?,The linked lists can be of variable length.,Elements can be inserted into a link list at any point and does not need to be resized unlike an array needs to be.<br>,what main advantage linked lists arrays elements inserted link list point need resized unlike array needs be br
73,2207,2023-02-12,What is the experimental approach for measuring the running time of an algorithm?,Implement the algorithm and measure the physical running time.,"For every call into memory, add/ multiply it into an equation of type O(n)",what experimental approach measuring running time algorithm for every call memory add multiply equation type n
74,808,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,using index outside bounds array generates error is compilation error run time error compilation error
75,168,2023-06-01,Where are variables declared in a C++ program?,Variables can be declared anywhere in a program. They can be declared inside a function (local variables) or outside the functions (global variables),variables can be declared in classes and methods.,where variables declared program variables declared classes methods
76,1139,2023-01-07,What is a linked list?,A collection of elements that can be allocated dynamically.,"A sequence of nodes, each containing data fields (specified by programmer) and pointer(s) which can point to the next or previous nodes.",what linked list sequence nodes containing data fields specified programmer pointer point next previous nodes
77,612,2023-07-03,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,not answered,what similarities iteration recursion answered
78,674,2023-02-04,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.,"Stings can only be modified by functions of the String class, an array of characters can be modified by the user",what main difference strings declared using type string versus strings declared using array characters stings modified functions string class array characters modified user
79,2362,2023-08-12,What is the Euler tour traversal of a tree?,"A walk around the tree, starting with the root, where each node is seen three times: from the left, from below, from the right.","It is a tree that shows how it functions. It contains parents, children, siblings, ancestors and descendents. The use of tree type algorithm is also an alternative sorting algorithm.",what euler tour traversal tree it tree shows functions it contains parents children siblings ancestors descendents the use tree type algorithm also alternative sorting algorithm
80,344,2023-05-02,How many constructors can be created for a class?,Unlimited number.,One,how many constructors created class one
81,1239,2023-05-07,What is the difference between a circular linked list and a basic linked list?,The last element in a circular linked list points to the head of the list.,They are passed by reference because you want the function to change the pointer<br>,what difference circular linked list basic linked list they passed reference want function change pointer br
82,1,2023-01-01, What is the role of a prototype program in problem solving?, To simulate the behaviour of portions of the desired software product., High risk problems are address in the prototype program to make sure that the program is feasible.  A prototype may also be used to show a company that the software can be possibly programmed.<br><br>,what role prototype program problem solving high risk problems address prototype program make sure program feasible prototype may also used show company software possibly programmed br br
83,365,2023-06-02,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",a prototype does not include any actual code where the function has all the code that is executed in the program.,what difference function prototype function definition prototype include actual code function code executed program
84,2405,2023-09-12,How do you delete a node from a binary search tree?,"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree).","Set the nodes to NULL, where that it doesn't point to anything, and the use the DELETE opertator to clear space from memory.",how delete node binary search tree set nodes null point anything use delete opertator clear space memory
85,2229,2023-03-12,Order the following functions by their running time: n^2; log(log n) ; 2^(log n) ; n! ; n^3.,log(log n);  2^(log n) ; n^2 ; n^3; n!,"2^(log n), log(log n), n!, n^2, n^3",order following functions running time log log log n log log log n n
86,344,2023-05-02,How many constructors can be created for a class?,Unlimited number.,One,how many constructors created class one
87,2122,2023-09-11,Briefly describe the divide-and-conquer paradigm.,"Divide a problem into smaller subproblems, solve them recursively, and then combine the solutions into a solution for the original problem.","smaller parts are easier to compare than comparing the whole, so it divides the problem down in halves until it can easily compare, then works backwards putting it back together to give the solution.",briefly describe divide and conquer paradigm smaller parts easier compare comparing whole divides problem halves easily compare works backwards putting back together give solution
88,87,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability.," Well for one encapsulation the values of the variables inside an object are private, unless methods are written to pass info outside of the object. As well as Inheritance where each subclass inherits all variables and methods of its super class.  Example in the book included obj clock and how obj alarm would still use clock from the first class.",what main advantages associated object oriented programming well one encapsulation values variables inside object private unless methods written pass info outside object as well inheritance subclass inherits variables methods super class example book included obj clock obj alarm would still use clock first class
89,2262,2023-04-12,"Briefly, how does selection sort work?","It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth.","pick a number, and set all values less than that number to the left, while all numbers on the right of that number is larger.",briefly selection sort work pick number set values less number left numbers right number larger
90,1734,2023-02-10,What is the height of a tree?,The length of the longest path from the root to any of its leaves.,The height of a tree is the number of nodes on the longes path from the root to a leaf.,what height tree the height tree number nodes longes path root leaf
91,609,2023-07-03,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.,"Incorrectly writing either can result in infinite loops, both perform the same task over and over.",what similarities iteration recursion incorrectly writing either result infinite loops perform task over
92,1812,2023-05-10,What is a binary search tree?,A binary tree that has the property that for any node the left child is smaller than the parent which in turn is smaller than the right child.,"a binary search tree is a special tree in which each node has at most two children, labeled left child and right child",what binary search tree binary search tree special tree node two children labeled left child right child
93,197,2023-07-01,What is the main difference between a while and a do...while statement?,The block inside a do...while statement will execute at least once.,"A do...while statement will always execute the ""do"" piece of code at least once before checking the condition. A while statement will always check the condition first.",what main difference do while statement do while statement always execute do piece code least checking condition statement always check condition first
94,46,2023-02-01, What stages in the software life cycle are influenced by the testing stage?, The testing stage can influence both the coding stage (phase 5) and the solution refinement stage (phase 7)," Testing, refining, production, and maintenance.",what stages software life cycle influenced testing stage testing refining production maintenance
95,488,2023-03-03,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,If the function is small enough it will expand it but it will run faster as it will avoid making so many calls to the function.,how compiler handle inline functions if function small enough expand run faster avoid making many calls function
96,952,2023-04-05,What is the base case for a recursive implementation of merge sort?,When the size of the array to be sorted is 1 (or 2),O(n log n),what base case recursive implementation merge sort n log
97,446,2023-02-03,What is the scope of global variables?,File scope.,they can be accessed by any C++ file anywhere.,what scope global variables accessed file anywhere
98,2049,2023-07-11,What is the difference between an array that is declared as static and one that is not?,The static arrays are intialized only once when the function is called.,"The static array will be available to the whole of the program, whereas an array that is not static is only available within the scope in which it is declared. <br><br>//pass-by-reference???",what difference array declared static one not the static array available whole program whereas array static available within scope declared br br pass by reference
99,2157,2023-10-11,Briefly describe in one sentence how does merge sort work?,"It splits the original array into two, sorts each of the two halves, and then merges the sorted arrays.","Divide recursuivly big array into two arrays, sort two array and merge them togather recuruivly.",briefly describe one sentence merge sort work divide recursuivly big array two arrays sort two array merge togather recuruivly
100,781,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,compilation error,using index outside bounds array generates error is compilation error run time error compilation error
101,1623,2023-05-09,"Which implementation (array-based vs. list-based) is preferred for a queue, and why?","Link-based, because they are dynamic (no size constraints)",array-based is preferred because all you have to keep track of is the array itself and the count.,which implementation array based vs list based preferred queue why array based preferred keep track array count
102,2192,2023-02-12,What is the experimental approach for measuring the running time of an algorithm?,Implement the algorithm and measure the physical running time.,not answered,what experimental approach measuring running time algorithm answered
103,989,2023-02-06,What does the address (&) operator return?,The memory address of its operand.,the address of the variable in memory,what address operator return address variable memory
104,1053,2023-04-06,How can an array be addressed in pointer/offset notation?,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element.",a[i] = *(a+i),how array addressed pointer offset notation i i
105,805,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,not answered,using index outside bounds array generates error is compilation error run time error answered
106,1876,2023-01-11,What are the elements typically included in a class definition?,Function members and data members.,The return value and the accepted value.,what elements typically included class definition the return value accepted value
107,2255,2023-04-12,"Briefly, how does selection sort work?","It selects the minimum from an array and places it on the first position, then it selects the minimum from the rest of the array and places it on the second position, and so forth.",Selection sort works by finding the smallest element and then compares it with the largest and sorts the elements.,briefly selection sort work selection sort works finding smallest element compares largest sorts elements
108,1605,2023-04-09,How can you implement a queue with a list?,"Keep the rear of the queue pointing to the tail of the linked list, so the enqueue operation is done at the end of the list, and keep the front of the queue pointing to the head of the linked list, so the dequeue operation is done at the beginning of the list.",linked list checking for front and rear.  Keep enqueueing elements until front equal to rear -1.,how implement queue list linked list checking front rear keep enqueueing elements front equal rear
109,293,2023-03-02,What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.","constructor is a special block of statements called when an object is created, either when it is declared statically or constructed on the stack. However a function is a portion of code within a larger program, which performs a specific task and independent to the rest of the code.",what difference constructor function constructor special block statements called object created either declared statically constructed stack however function portion code within larger program performs specific task independent rest code
110,1964,2023-04-11,What is a function signature?,"The name of the function and the list of parameters, including their types.","The function's name, as well as what it returns and what it accepts.",what function signature the function name well returns accepts
111,641,2023-01-04,What are the two different ways of specifying the length of an array?,"In the array declaration, or by using an initializer list.",Specify an arrayâ��s size with a constant variable.<br>And setting array elements with calculations.<br>,what two different ways specifying length array specify array size constant variable br and setting array elements calculations br
112,1239,2023-05-07,What is the difference between a circular linked list and a basic linked list?,The last element in a circular linked list points to the head of the list.,They are passed by reference because you want the function to change the pointer<br>,what difference circular linked list basic linked list they passed reference want function change pointer br
113,1341,2023-01-08,What is a stack?,"A data structure that can store elements, which has the property that the last item added will be the first to be removed (or last-in-first-out)",a finite ordered list with zero or more elements,what stack finite ordered list zero elements
114,496,2023-03-03,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.,The compiler can ignore the inline qualifier and typically does so for all but the smallest functions.,how compiler handle inline functions the compiler ignore inline qualifier typically smallest functions
115,745,2023-04-04,"What is the difference between an array declared as static, and one that is not?","The arrays declared as static live throughout the life of the program; that is, they are initialized only once, when the function that declares the array it is first called.",not answered,what difference array declared static one not answered
116,1553,2023-02-09,What are the two main functions defined by a queue?,enqueue and dequeue,"Enqueue and dequeue, which add and remove elements from the queue",what two main functions defined queue enqueue dequeue add remove elements queue
117,1466,2023-06-08,How are infix expressions evaluated by computers?,"First, they are converted into postfix form, followed by an evaluation of the postfix expression.","i have an hard time explaining this so i'll show how infix is evaluated instead.<br>Start with an infix expression, like, <br>(((5+2)*5)+(400/(2+3))), and  push items until you get a "")"" and once that happens, perform the operations until you reach an ""(""... with that complete, you will now have <br>((7*5)+(400/(2+3))) as now the expression that will be evaluated... perform last step again...<br>(35+(400/(2+3))) is now the stack.... repeat agian...<br>(35+(400/5)) is now the stack after that.... repeat...<br>(35+80) is now the stack, repeat again...<br>115 is now the stack, and is returned.",how infix expressions evaluated computers hard time explaining ll show infix evaluated instead br start infix expression like br push items get happens perform operations reach complete br expression evaluated perform last step again br stack repeat agian br stack that repeat br stack repeat again br stack returned
118,407,2023-07-02,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes.",header files contain code which can be used in multiple files,what role header file header files contain code used multiple files
119,752,2023-05-04,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"All the dimensions, except the first one.",all of them.,how many dimensions need specified passing multi dimensional array argument function them
120,2412,2023-09-12,How do you delete a node from a binary search tree?,"Find the node, then replace it with the leftmost node from its right subtree (or the rightmost node from its left subtree).","to delete the node, you would have to link the children nodes that are connected to the node to be deleted to the remaining nodes of the tree in such a way that nodes on the right of the parent node are larger than the parent and nodes on the left of the parent node are smaller",how delete node binary search tree delete node would link children nodes connected node deleted remaining nodes tree way nodes right parent node larger parent nodes left parent node smaller
121,2416,2023-10-12,How many steps does it take to search a node in a binary search tree?,The height of the tree.,log(n) steps,how many steps take search node binary search tree log steps
122,66,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability., Encapsulation-objects combine data and operations<br>Inheritance- classes can inherit properties from other classes<br>Polymorphism- Objects can determine appropriate operations at execution time,what main advantages associated object oriented programming encapsulation objects combine data operations br inheritance classes inherit properties classes br polymorphism objects determine appropriate operations execution time
123,804,2023-06-04,Using an index outside the bounds of the array generates an error. Is this a compilation error or a run-time error?,Run-time error.,run-time error,using index outside bounds array generates error is compilation error run time error run time error
124,68,2023-03-01,What are the main advantages associated with object-oriented programming?,Abstraction and reusability., Re-usability  and ease of maintenance,what main advantages associated object oriented programming re usability ease maintenance
125,1576,2023-03-09,How can you implement a queue with an array?,"Use a circular array. Keep the rear of the queue toward the end of the array, and the front toward the beginning, and allow the rear pointer to wrap around.","add items into a fixed size array, pull the items out by calling on them with the starting index, increase starting index so when it calls again its now the next index element in the array.",how implement queue array add items fixed size array pull items calling starting index increase starting index calls next index element array
126,2094,2023-08-11,What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?,The char[] will automatically add a null \0 character at the end of the string.,"When the string is passed into the array char, individual characters are stored and can be manipulated.  Although when a word is stored into a string variable, it is stored as one word and not as individual characters.",what main difference string characters read variable type string versus variable type char when string passed array char individual characters stored manipulated although word stored string variable stored one word individual characters
